2025-03-30 19:52:21.173 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-03-30 19:52:21.185 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-03-30 19:53:47.518 INFO  o.e.a.AdventureTimeApplication - Starting AdventureTimeApplication using Java 23.0.2 with PID 2720 (C:\Users\alexe\IdeaProjects\AdventureTime\target\classes started by alexe in C:\Users\alexe\IdeaProjects\AdventureTime)
2025-03-30 19:53:47.520 INFO  o.e.a.AdventureTimeApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-30 19:53:48.118 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-30 19:53:48.167 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 3 JPA repository interfaces.
2025-03-30 19:53:48.658 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-03-30 19:53:48.668 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-30 19:53:48.669 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-30 19:53:48.669 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-03-30 19:53:48.716 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-30 19:53:48.716 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1147 ms
2025-03-30 19:53:48.862 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-30 19:53:48.912 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.5.Final
2025-03-30 19:53:48.940 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-30 19:53:49.182 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-30 19:53:49.209 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-30 19:53:49.326 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7f77e065
2025-03-30 19:53:49.327 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-30 19:53:49.358 WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.7.24 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2025-03-30 19:53:49.361 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-03-30 19:53:49.377 INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 5.7.24
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-03-30 19:53:50.081 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-30 19:53:50.143 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-30 19:53:50.498 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-03-30 19:53:51.030 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-30 19:53:51.096 INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-03-30 19:53:51.582 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-30 19:53:51.598 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-03-30 19:53:51.604 INFO  o.e.a.AdventureTimeApplication - Started AdventureTimeApplication in 4.521 seconds (process running for 5.077)
2025-03-30 19:53:59.512 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-30 19:53:59.513 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-30 19:53:59.514 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-03-30 19:53:59.559 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: TourController.getAllTours() с аргументами: []
2025-03-30 19:53:59.560 INFO  o.e.a.logging.LoggingAspect - Все Тур успешно получены из кэша, количество: 0
2025-03-30 19:53:59.688 INFO  o.e.a.logging.LoggingAspect - Все Неизвестный тип успешно получены из базы данных, количество: 15
2025-03-30 19:53:59.724 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 2 в кэше
2025-03-30 19:53:59.725 INFO  o.e.a.logging.LoggingAspect - Тур с ID 2 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 3 в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Тур с ID 3 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 7 в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Тур с ID 7 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 9 в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Тур с ID 9 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 10 в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Тур с ID 10 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 11 в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Тур с ID 11 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 12 в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Тур с ID 12 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.726 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 13 в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Тур с ID 13 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 14 в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Тур с ID 14 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 15 в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Тур с ID 15 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 16 в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Тур с ID 16 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 17 в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Тур с ID 17 успешно добавлен/обновлен в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 18 в кэше
2025-03-30 19:53:59.727 INFO  o.e.a.logging.LoggingAspect - Тур с ID 18 успешно добавлен/обновлен в кэше
